Point Name,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
Description,GROSS LOAD,TURB BRG 1 VIB 1,TURB BRG 1 VIB 2,TURB BRG 1 RAD VIB X,TURB BRG 1 RAD VIB Y,TURB BRG 2 VIB 1,TURB BRG 2 VIB 2,TURB BRG 2 RAD VIB X,TURB BRG 2 RAD VIB Y,TURB AXIAL POS 1,TURB AXIAL POS 2,TURB BRG 1 TEMP 1,TURB BRG 2 TEMP 1,THRUST BRG ACT TEMP 1,THRUST BRG INACT TEMP 1,LO SUPPLY TEMP 1
Extended Name,,,,,,,,,,,,,,,,
Extended Description,,,,,,,,,,,,,,,,
Units,MW,IN/S,IN/S,MILS,MILS,IN/S,IN/S,MILS,MILS,MILS,MILS,DEGF,DEGF,DEGF,DEGF,DEGF
7/26/2019 18:59,0.085235596,0.003397465,0.003314018,0.084686279,0.167369843,0.001788139,0.001645088,0.076389313,0.071430206,-24.14712906,-25.26316643,107.0055618,105.8314056,91.58140564,91.1011734,89.56040192
7/26/2019 19:59,0.093109131,0.003349781,0.003415346,0.066947937,0.085163116,0.001752377,0.001579523,0.074768066,0.0623703,-24.06644821,-25.25918579,107.146431,106.0984497,91.87190247,91.368927,89.8188324
7/26/2019 20:59,0.059448242,0.003319979,0.003385544,0.069332123,0.094413757,0.0017941,0.0015378,0.068092346,0.080013275,-24.08924103,-25.33621788,107.4253845,106.5151443,92.0803299,91.45254517,90.40215302
7/26/2019 21:59,0.078765869,0.003486872,0.003618002,0.073814392,0.098323822,0.002127886,0.001966953,0.095939636,0.070571899,-24.08595085,-25.42879486,106.7681961,105.8738022,91.56285095,90.71619415,89.72143555
7/26/2019 22:59,0.065429688,0.003397465,0.003373623,0.076293945,0.091362,0.001877546,0.001549721,0.079154968,0.08354187,-24.04918671,-25.4196167,105.5168304,104.3391724,90.07442474,89.37908936,88.30245972
7/26/2019 23:59,0.055541992,0.003188848,0.003248453,0.091743469,0.087738037,0.001853704,0.001877546,0.093173981,0.07390976,-24.10280609,-25.42698288,107.0068054,106.1960449,91.80452728,91.2219696,89.86825562
7/27/2019 0:59,0.056121826,0.003236532,0.003367662,0.071430206,0.117492676,0.001960993,0.002104044,0.071144104,0.075340271,-24.20911789,-25.10991096,107.0262985,106.0946274,91.67612457,91.13183594,89.72215271
7/27/2019 1:59,0.060821533,0.003409386,0.003314018,0.081920624,0.086307526,0.001883507,0.0017941,0.096321106,0.0664711,-24.28975105,-25.40597916,107.6674805,106.3915863,92.25149536,91.68241119,90.26131439
7/27/2019 2:59,0.063568115,0.003540516,0.003558397,0.082206726,0.091743469,0.002574921,0.001764297,0.080680847,0.087738037,-23.90427589,-25.38142204,106.7270584,105.6919632,91.3732605,90.81256104,89.53958893
7/27/2019 3:59,0.071990967,0.003272295,0.003367662,0.101089478,0.121498108,0.001835823,0.00166893,0.080776215,0.078773499,-24.42083359,-25.82473755,107.6565323,106.4996185,92.38832092,91.73620605,90.51966858
7/27/2019 4:59,0.086303711,0.003319979,0.003290176,0.089073181,0.091266632,0.001734495,0.001710653,0.084781647,0.105476379,-24.53179359,-25.30283928,107.9471283,106.7024536,92.46064758,91.8710022,90.76805115
7/27/2019 5:59,0.08706665,0.003045797,0.003296137,0.089073181,0.061702728,0.001716614,0.001627207,0.107002258,0.086307526,-24.53789711,-25.15346909,107.7026749,106.3553772,92.36117554,91.86641693,90.24153137
7/27/2019 6:59,0.08102417,0.003290176,0.003278255,0.109004974,0.090789795,0.002276897,0.002145767,0.097179413,0.073814392,-24.55513382,-25.07312393,107.0792389,106.1162949,91.73023987,91.48022461,89.62508392
7/27/2019 7:59,0.080841064,0.003474951,0.003349781,0.075531006,0.125694275,0.001913309,0.001788139,0.06570816,0.065898895,-24.37631989,-25.0802269,107.6184616,106.5467224,92.27600861,91.77706146,90.25801086
7/27/2019 8:59,0.083007813,0.003254414,0.003200769,0.087356567,0.092411041,0.001782179,0.002044439,0.113582611,0.095367432,-24.57273102,-25.30610657,107.3139114,105.9385452,91.96765137,91.42124939,90.0694046
7/27/2019 9:59,0.073913574,0.003159046,0.003373623,0.092220306,0.137042999,0.001758337,0.001519918,0.10099411,0.089740753,-24.53005219,-25.31328201,107.9693451,106.8111572,92.48331451,91.90143585,90.78496552
7/27/2019 10:59,0.080230713,0.003051758,0.003111362,0.102519989,0.082969666,0.001782179,0.001960993,0.090408325,0.098991394,-24.58248138,-25.17268753,107.9997864,106.8151016,92.66183472,92.17703247,90.27645874
7/27/2019 11:59,0.082183838,0.003182888,0.003176928,0.100231171,0.280570984,0.001764297,0.002402067,0.078010559,0.095939636,-24.52223206,-25.16565323,107.8578491,106.6386185,92.37033081,91.79549408,90.60015106
7/27/2019 12:59,0.082946777,0.003874302,0.00371933,0.126361847,0.07724762,0.002336502,0.00217557,0.092315674,0.124359131,-24.4711647,-25.30276871,107.305603,106.1487579,91.88535309,91.57003784,90.08992767
7/27/2019 13:59,0.079437256,0.003409386,0.003367662,0.108909607,0.097751617,0.001823902,0.001680851,0.091171265,0.076961517,-24.46928024,-25.39663315,107.6470947,106.4483109,92.15692139,91.73231506,90.31625366
7/27/2019 14:59,0.083251953,0.003933907,0.003927946,0.087738037,0.097179413,0.002324581,0.001788139,0.088882446,0.079250336,-24.63171387,-25.28102493,107.6725311,106.5399246,92.33058929,91.72901154,90.56999207
7/27/2019 15:59,0.085113525,0.003260374,0.003141165,0.099086761,0.094032288,0.001853704,0.00205636,0.102043152,0.079917908,-24.66375732,-25.28443336,108.0192032,106.9230118,92.68148804,91.99002075,90.76701355
7/27/2019 16:59,0.076690674,0.003111362,0.003057718,0.084400177,0.21314621,0.002849102,0.002658367,0.086307526,0.09098053,-24.5739212,-25.14543533,107.9550247,106.6362839,92.54246521,92.19998169,90.41783905
7/27/2019 17:59,0.077667236,0.003182888,0.003266335,0.075435638,0.087738037,0.001955032,0.001752377,0.100135803,0.0831604,-24.1672039,-25.34677887,107.7895203,106.4145737,92.37493134,91.78276062,90.35816193
7/27/2019 18:59,0.082000732,0.003534555,0.003457069,0.112342834,0.113105774,0.001960993,0.001955032,0.095748901,0.067424774,-24.43218231,-25.3455162,107.9163818,106.7827682,92.65110779,91.95310211,90.74341583
7/27/2019 19:59,0.08605957,0.003367662,0.0033319,0.123882294,0.119018555,0.00166297,0.001561642,0.123023987,0.064659119,-24.65696335,-25.09391403,107.7230377,106.3625107,92.3074646,92.05548096,90.30516815
7/27/2019 20:59,0.077880859,0.003433228,0.003534555,0.095939636,0.059700012,0.001996756,0.001835823,0.109291077,0.080966949,-24.63977432,-25.09920502,107.6731262,106.2967682,92.40489197,91.74839783,90.40384674
7/27/2019 21:59,0.077209473,0.003093481,0.003123283,0.111865997,0.093746185,0.002348423,0.002253056,0.088500977,0.101852417,-24.4210968,-25.12764931,107.4359207,106.0385208,92.09103394,91.74102783,89.94769287
7/27/2019 22:59,0.075958252,0.006330013,0.006371737,0.694942474,0.630283356,0.008356571,0.007796288,1.167678833,0.609588623,-16.69373322,-16.88682938,125.1040497,122.4882507,97.58966064,100.8193512,92.83164215
